model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,pep,18,15-19,Conus,False,1
baseline_esm2,2,propep,25,25-29,Conus,False,1
baseline_esm2,2,pep,15,15-19,Conus,False,1
baseline_esm2,2,propep,27,25-29,Conus,False,1
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,23,20-24,Conus,False,0
baseline_esm2,2,pep,17,15-19,Conus,False,1
baseline_esm2,2,propep,23,20-24,Conus,False,0
baseline_esm2,2,pep,16,15-19,Conus,False,1
baseline_esm2,2,propep,23,20-24,Conus,False,0
baseline_esm2,2,pep,30,30-34,Conus,True,1
