task,length,start_err,stop_err
propeptides,15,0,0
propeptides,21,1,0
propeptides,24,6,0
propeptides,12,0,0
propeptides,15,0,0
propeptides,12,0,0
peptides,27,0,0
propeptides,6,0,0
propeptides,13,0,0
peptides,22,7,0
peptides,31,0,0
propeptides,27,0,0
peptides,17,0,0
propeptides,30,16,0
peptides,27,0,1
peptides,7,0,42
peptides,8,-9,32
peptides,6,-19,24
peptides,6,-27,16
peptides,6,-35,8
peptides,6,-43,0
peptides,19,0,0
propeptides,29,0,0
peptides,19,0,0
propeptides,29,0,0
peptides,10,0,0
propeptides,31,0,0
peptides,13,0,0
propeptides,28,0,0
peptides,10,0,0
propeptides,32,0,0
peptides,25,0,-4
propeptides,14,6,0
peptides,18,0,1
propeptides,32,0,0
peptides,14,0,0
peptides,12,0,2
propeptides,29,0,0
peptides,14,0,0
propeptides,31,0,0
peptides,10,0,0
propeptides,31,0,0
peptides,27,0,0
propeptides,29,0,-2
peptides,35,2,-5
propeptides,20,0,2
peptides,29,-2,0
propeptides,29,0,-2
peptides,48,0,0
peptides,38,0,0
peptides,27,0,11
propeptides,19,0,0
propeptides,29,7,0
peptides,8,0,0
peptides,42,0,0
peptides,27,0,15
peptides,28,0,0
propeptides,15,0,0
propeptides,27,0,0
propeptides,39,0,0
propeptides,20,0,0
peptides,32,0,0
propeptides,29,0,-2
peptides,26,0,0
propeptides,28,0,-2
peptides,31,0,0
propeptides,23,0,0
peptides,28,-1,0
propeptides,26,0,-1
peptides,36,2,-5
propeptides,20,0,2
peptides,26,-2,0
propeptides,24,0,-3
peptides,27,0,0
propeptides,23,0,0
peptides,26,0,0
propeptides,15,-2,0
peptides,28,0,0
propeptides,26,0,2
peptides,32,0,0
propeptides,29,0,-2
peptides,31,0,0
propeptides,27,0,2
peptides,27,0,0
propeptides,27,0,0
peptides,48,0,0
peptides,38,0,0
peptides,27,0,11
propeptides,17,0,0
propeptides,12,0,0
propeptides,6,0,-1
propeptides,6,0,-1
propeptides,43,1,0
peptides,26,0,-5
propeptides,30,-2,0
peptides,42,0,0
peptides,27,0,15
peptides,28,0,0
propeptides,15,0,0
peptides,42,0,0
peptides,27,0,15
peptides,28,0,0
propeptides,15,0,0
propeptides,7,0,0
propeptides,6,1,0
peptides,43,0,0
propeptides,42,0,2
propeptides,6,0,0
peptides,10,-3,1
propeptides,6,0,15
propeptides,6,0,10
propeptides,23,0,0
propeptides,11,0,2
propeptides,7,0,0
propeptides,22,-1,0
propeptides,6,0,-1
propeptides,9,2,0
propeptides,35,0,0
propeptides,12,0,0
propeptides,6,0,10
propeptides,13,0,2
peptides,11,0,0
peptides,10,-1,3
peptides,13,-1,0
propeptides,6,0,-1
propeptides,12,0,0
propeptides,6,0,-1
peptides,31,0,0
peptides,21,0,0
propeptides,25,0,0
propeptides,28,-1,0
peptides,27,0,0
propeptides,27,0,0
peptides,28,0,0
propeptides,28,0,1
propeptides,22,0,2
propeptides,6,0,0
peptides,17,0,0
peptides,17,0,0
propeptides,22,0,2
peptides,9,-1,0
propeptides,22,0,2
propeptides,24,6,0
propeptides,12,0,2
peptides,45,0,-1
peptides,41,0,3
peptides,35,0,2
propeptides,15,0,9
propeptides,7,-17,0
peptides,26,0,-1
peptides,25,0,0
propeptides,23,0,0
peptides,17,0,0
propeptides,30,16,0
peptides,14,0,0
propeptides,34,0,0
peptides,13,0,0
propeptides,29,0,0
peptides,17,0,0
propeptides,29,15,0
peptides,13,0,0
propeptides,31,0,0
peptides,15,-1,0
propeptides,31,0,0
peptides,9,0,0
propeptides,29,0,0
peptides,13,0,0
propeptides,29,0,0
peptides,35,7,0
propeptides,38,0,9
peptides,24,0,0
propeptides,28,0,0
peptides,30,0,0
propeptides,29,0,0
peptides,26,0,0
propeptides,27,0,0
peptides,33,0,0
propeptides,27,0,1
peptides,30,0,0
propeptides,25,0,-2
peptides,14,-27,0
peptides,14,3,0
propeptides,21,0,0
propeptides,21,0,0
propeptides,21,0,0
propeptides,30,6,0
propeptides,22,-2,0
propeptides,30,6,0
peptides,27,-18,0
peptides,40,28,24
peptides,24,-12,0
peptides,30,5,24
peptides,24,-25,0
propeptides,19,-1,0
propeptides,8,0,0
propeptides,25,-1,0
propeptides,25,0,0
propeptides,12,0,2
propeptides,23,-4,0
peptides,8,0,0
peptides,44,0,0
peptides,10,0,0
peptides,28,0,0
peptides,8,0,1
peptides,28,0,0
propeptides,15,-2,0
propeptides,25,0,0
propeptides,22,-1,0
propeptides,23,0,0
propeptides,26,0,0
peptides,27,-2,0
propeptides,11,0,-4
propeptides,12,0,2
propeptides,8,0,0
propeptides,8,0,0
propeptides,8,0,0
propeptides,26,0,0
propeptides,8,0,0
propeptides,23,1,0
propeptides,25,0,0
propeptides,25,-7,0
propeptides,25,0,0
peptides,8,0,0
peptides,28,0,0
propeptides,23,0,0
peptides,28,0,0
peptides,20,0,0
propeptides,26,0,0
peptides,27,0,0
peptides,21,0,0
propeptides,19,0,0
propeptides,33,2,4
peptides,34,14,0
peptides,36,0,0
peptides,18,0,0
propeptides,45,0,6
propeptides,11,0,0
peptides,32,0,0
propeptides,27,2,0
propeptides,32,6,0
propeptides,29,1,0
propeptides,29,-1,0
propeptides,29,2,0
propeptides,29,-1,0
propeptides,29,0,0
propeptides,36,3,0
propeptides,29,0,0
peptides,26,16,0
propeptides,27,0,16
propeptides,12,0,2
propeptides,7,0,2
propeptides,7,0,2
propeptides,7,0,2
propeptides,10,0,2
propeptides,7,0,2
propeptides,10,0,2
propeptides,10,0,2
propeptides,10,0,2
propeptides,10,0,2
propeptides,9,0,2
propeptides,10,0,2
propeptides,7,0,2
peptides,47,0,1
propeptides,5,0,2
propeptides,6,0,2
propeptides,11,0,2
propeptides,12,0,2
propeptides,11,0,2
propeptides,14,0,2
propeptides,14,0,0
propeptides,16,0,2
propeptides,16,0,2
propeptides,16,0,2
propeptides,16,0,2
propeptides,16,0,2
propeptides,16,0,2
propeptides,16,2,2
propeptides,16,0,2
propeptides,14,0,2
propeptides,16,0,2
propeptides,14,0,2
propeptides,14,0,0
peptides,27,0,0
peptides,30,2,-1
peptides,21,0,0
propeptides,32,0,2
peptides,30,0,-1
peptides,21,0,0
propeptides,31,0,0
peptides,20,0,0
propeptides,43,10,0
peptides,30,0,-2
peptides,21,-1,0
peptides,30,1,21
peptides,21,-29,0
peptides,34,0,8
peptides,38,11,1
propeptides,34,12,11
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,30,1,0
peptides,21,0,0
peptides,22,0,6
peptides,20,0,0
propeptides,43,10,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,30,1,0
peptides,21,0,0
peptides,23,0,5
peptides,21,0,0
propeptides,42,9,0
peptides,30,0,-2
peptides,21,0,0
propeptides,35,0,2
peptides,34,-1,8
peptides,30,0,-2
peptides,21,-1,0
peptides,21,0,0
peptides,34,0,5
peptides,38,11,1
propeptides,31,9,11
peptides,30,0,0
peptides,21,0,0
propeptides,32,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,36,35,21
peptides,21,-1,0
peptides,21,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,0
peptides,21,0,0
peptides,21,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,26,0,2
propeptides,23,-12,0
peptides,15,-27,0
peptides,16,-1,0
peptides,26,0,0
peptides,28,0,0
peptides,25,3,0
propeptides,29,0,5
propeptides,26,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
propeptides,18,0,-1
peptides,18,0,0
propeptides,35,-2,-3
peptides,40,0,0
propeptides,40,12,-5
propeptides,17,-5,0
peptides,13,7,25
peptides,37,6,0
peptides,12,6,25
peptides,11,5,25
peptides,30,3,-1
peptides,21,-1,0
peptides,29,0,0
peptides,21,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,28,3,0
peptides,21,0,0
propeptides,30,0,2
peptides,29,0,0
propeptides,7,1,0
peptides,24,0,-1
propeptides,27,-1,0
peptides,10,0,0
peptides,10,0,0
peptides,10,0,0
peptides,10,0,0
peptides,35,2,-1
propeptides,20,0,2
propeptides,23,-1,0
peptides,26,0,0
peptides,26,0,0
peptides,15,2,0
peptides,15,-3,0
peptides,26,0,0
peptides,15,0,0
peptides,15,0,0
peptides,15,2,0
propeptides,24,0,4
peptides,39,0,0
peptides,39,0,0
peptides,42,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,42,0,0
peptides,19,0,0
propeptides,45,0,0
peptides,37,0,0
peptides,25,0,0
propeptides,13,0,27
propeptides,25,-15,0
propeptides,20,0,1
peptides,25,0,0
propeptides,37,0,0
peptides,32,0,0
propeptides,27,2,0
peptides,10,0,0
peptides,18,1,0
peptides,18,0,4
propeptides,17,0,1
peptides,18,1,1
peptides,18,0,4
propeptides,17,0,1
propeptides,35,0,0
propeptides,35,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,30,2,21
peptides,21,-28,0
peptides,31,0,0
peptides,21,0,0
propeptides,25,-1,0
peptides,30,-1,0
propeptides,5,0,0
peptides,31,0,2
propeptides,20,0,0
propeptides,13,-2,2
peptides,12,0,0
propeptides,27,1,0
propeptides,23,0,0
peptides,25,0,0
propeptides,32,1,6
peptides,21,-5,0
propeptides,40,0,-7
propeptides,21,-2,0
propeptides,24,1,0
peptides,38,0,0
propeptides,18,0,0
peptides,16,0,0
propeptides,30,-2,0
peptides,38,0,0
peptides,25,0,0
propeptides,13,0,27
propeptides,25,-15,0
peptides,31,-1,0
propeptides,38,0,0
propeptides,26,0,0
peptides,41,-8,0
propeptides,23,0,-8
peptides,18,0,0
peptides,21,0,0
peptides,29,1,-4
peptides,22,-4,0
peptides,29,0,0
peptides,21,0,0
peptides,38,0,-9
peptides,21,0,0
peptides,34,0,2
peptides,32,11,0
peptides,22,1,0
peptides,34,0,5
peptides,38,11,1
propeptides,31,9,11
peptides,21,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,29,0,2
peptides,29,0,0
peptides,21,0,0
propeptides,20,0,0
peptides,42,0,-1
propeptides,49,0,0
peptides,10,0,0
peptides,28,0,0
peptides,10,0,0
peptides,10,0,0
peptides,7,-3,0
peptides,28,0,0
peptides,8,0,0
peptides,8,0,0
peptides,6,0,2
peptides,8,0,0
peptides,7,0,0
peptides,34,0,0
peptides,9,0,0
peptides,27,14,0
peptides,12,0,0
peptides,13,0,0
propeptides,29,0,0
propeptides,10,0,0
peptides,28,0,0
peptides,20,0,0
propeptides,21,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,25,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
peptides,19,-2,24
peptides,19,-2,24
propeptides,24,1,0
propeptides,28,0,0
propeptides,27,-2,0
propeptides,35,0,0
propeptides,33,0,0
propeptides,26,2,0
propeptides,28,0,0
propeptides,23,0,0
propeptides,31,0,0
propeptides,31,-1,0
propeptides,24,-2,0
propeptides,22,0,0
propeptides,26,0,0
propeptides,23,-2,0
propeptides,18,-3,0
propeptides,23,-6,0
propeptides,20,0,0
propeptides,22,2,0
propeptides,22,2,0
propeptides,22,0,0
peptides,7,0,0
propeptides,23,0,0
propeptides,25,0,0
propeptides,7,0,0
propeptides,8,0,0
propeptides,8,0,0
propeptides,5,-3,0
propeptides,5,-3,0
propeptides,5,-3,0
propeptides,25,-9,0
propeptides,25,-1,0
propeptides,25,3,0
propeptides,11,0,3
propeptides,25,-3,0
propeptides,22,0,0
peptides,10,0,0
peptides,9,0,0
peptides,8,0,0
peptides,18,0,-10
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,11,0,0
propeptides,16,0,0
propeptides,21,-3,0
propeptides,23,0,0
peptides,20,0,2
peptides,20,0,1
peptides,20,0,3
peptides,20,0,3
propeptides,31,0,0
propeptides,28,8,0
propeptides,26,2,0
propeptides,28,2,0
propeptides,16,2,0
propeptides,23,3,0
peptides,28,0,0
propeptides,24,0,-1
peptides,12,0,0
peptides,12,0,7
propeptides,6,0,-1
propeptides,33,2,4
propeptides,20,-6,0
propeptides,25,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,21,-3,0
propeptides,23,1,0
propeptides,8,0,0
propeptides,26,16,0
propeptides,20,-1,0
propeptides,20,-1,0
propeptides,20,-1,0
propeptides,25,0,0
propeptides,24,0,0
propeptides,24,0,0
peptides,10,0,0
peptides,8,0,0
peptides,8,0,0
peptides,8,0,0
peptides,9,0,0
peptides,12,0,16
propeptides,25,15,0
propeptides,5,0,0
propeptides,23,0,0
peptides,28,0,0
peptides,20,-20,0
peptides,26,0,0
peptides,23,0,0
propeptides,29,0,0
peptides,28,0,0
peptides,20,0,0
propeptides,21,0,0
propeptides,19,-2,0
propeptides,28,0,1
propeptides,25,2,0
propeptides,26,0,0
peptides,31,0,-1
peptides,20,0,0
propeptides,7,0,0
propeptides,10,0,-4
peptides,11,0,0
propeptides,5,0,0
propeptides,5,0,0
peptides,28,0,0
peptides,20,-23,0
peptides,21,0,0
propeptides,29,0,0
propeptides,25,0,0
propeptides,19,-2,0
propeptides,25,2,0
propeptides,26,0,0
propeptides,26,0,0
peptides,6,0,0
peptides,18,0,-10
peptides,8,0,0
peptides,9,0,0
peptides,8,0,0
peptides,8,0,0
peptides,13,0,0
peptides,9,0,0
peptides,10,0,0
peptides,16,6,0
peptides,11,0,0
peptides,6,-1,0
peptides,8,0,0
propeptides,31,0,0
propeptides,16,0,0
propeptides,11,-2,1
propeptides,19,1,-6
propeptides,26,0,0
propeptides,16,0,2
propeptides,5,0,0
propeptides,15,-2,0
propeptides,26,-4,0
propeptides,26,-4,0
propeptides,23,0,0
propeptides,23,0,0
propeptides,23,0,0
peptides,11,0,0
propeptides,37,-1,0
propeptides,8,0,3
propeptides,11,0,0
propeptides,32,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,28,6,0
peptides,13,-1,8
peptides,9,-13,0
propeptides,12,0,2
peptides,28,0,0
peptides,20,0,0
propeptides,21,0,0
peptides,42,0,-3
propeptides,23,3,0
propeptides,14,0,0
peptides,43,-2,4
propeptides,31,3,0
peptides,36,0,13
peptides,18,-36,-5
