organism,train_peptides,test_peptides,test_recall,test_errors
Conus vexillum,2,8,0.875,1
Bacillus licheniformis,2,2,1.0,0
Conus gloriamaris,2,2,1.0,0
Conus miles,2,4,1.0,0
Ustilago maydis,2,9,0.0,9
Lampetra fluviatilis,2,2,0.0,2
Conus magus,2,3,1.0,0
Conus ammiralis,2,3,0.6666666666666666,1
Chlorocebus aethiops,2,2,1.0,0
Oncorhynchus kisutch,2,2,0.0,2
Oncorhynchus nerka,2,2,0.0,2
Callithrix jacchus,2,2,0.5,1
Conus stercusmuscarum,3,1,1.0,0
Morone saxatilis,3,1,1.0,0
Pagrus major,3,2,0.0,2
Pongo pygmaeus,3,2,1.0,0
Manduca sexta,3,1,1.0,0
Salmo salar,3,1,1.0,0
Schistocerca gregaria,3,4,0.75,1
Carcinus maenas,3,1,1.0,0
Heterometrus spinifer,4,2,1.0,0
Penaeus monodon,4,1,1.0,0
Heterometrus petersii,4,6,1.0,0
Verasper moseri,4,2,1.0,0
Tityus serrulatus,4,3,1.0,0
Locusta migratoria,4,9,0.6666666666666666,3
Callinectes sapidus,4,1,1.0,0
Chilobrachys guangxiensis,4,1,0.0,1
Gorilla gorilla gorilla,4,2,1.0,0
Styela clava,5,3,0.0,3
Doratifera vulnerans,5,7,0.8571428571428571,1
Bacillus subtilis,5,1,1.0,0
Octodon degus,5,2,1.0,0
Mesobuthus martensii,5,5,0.8,1
Pongo abelii,6,3,0.3333333333333333,2
Pelophylax ridibundus,6,3,0.6666666666666666,1
Conus imperialis,6,10,0.6,4
Conus purpurascens,6,1,1.0,0
Conus virgo,6,3,1.0,0
Conus bayani,6,1,1.0,0
Lophius americanus,6,2,1.0,0
Danio rerio,7,3,1.0,0
Capra hircus,7,2,0.0,2
Petromyzon marinus,7,2,0.0,2
Ornithorhynchus anatinus,8,2,0.0,2
Conus quercinus,8,6,0.16666666666666666,5
Conus striatus,8,10,0.8,2
Conus consors,8,5,0.6,2
Gemmula speciosa,8,1,0.0,1
Ruminococcus flavefaciens,8,4,1.0,0
Conus regius,9,1,0.0,1
Macaca fascicularis,9,3,0.6666666666666666,1
Dicentrarchus labrax,9,1,1.0,0
Conus caracteristicus,9,2,1.0,0
Conus geographus,11,16,0.6875,5
Conus bullatus,11,5,0.8,1
Cyprinus carpio,11,2,1.0,0
Felis catus,12,2,1.0,0
Bombyx mori,13,61,0.9180327868852459,5
Conus pulicarius,13,3,0.3333333333333333,2
Anopheles gambiae,13,2,0.5,1
Conus leopardus,13,3,0.6666666666666666,1
Oncorhynchus keta,14,2,1.0,0
Bombina variegata,15,1,1.0,0
Oryctolagus cuniculus,15,6,0.6666666666666666,2
Conus amadis,15,2,1.0,0
Conus victoriae,15,8,0.75,2
Conus arenatus,15,10,0.8,2
Equus caballus,15,3,0.6666666666666666,1
Drosophila pseudoobscura pseudoobscura,16,3,1.0,0
Pan troglodytes,16,6,0.6666666666666666,2
Aedes aegypti,16,7,0.42857142857142855,4
Conus pennaceus,19,3,1.0,0
Gallus gallus,21,6,0.6666666666666666,2
Conus marmoreus,23,8,0.25,6
Californiconus californicus,25,16,0.6875,5
Conus ventricosus,27,7,0.8571428571428571,1
Conus litteratus,28,6,0.6666666666666666,2
Ovis aries,28,4,1.0,0
Bombina orientalis,31,1,1.0,0
Camponotus floridanus,32,10,1.0,0
Canis lupus familiaris,32,6,0.8333333333333334,1
Cavia porcellus,33,4,0.5,2
Apis mellifera,36,11,0.7272727272727273,3
Agrotis ipsilon,41,24,0.7083333333333334,7
