cluster,n_proteins,total_residues,OTHER,PEPTIDE,PROPEP,OTHER_frac,PEPTIDE_frac,PROPEP_frac
0,1979,155085,72916,40004,42165,0.470167972402231,0.25794886675049167,0.2718831608472773
1,2469,752056,675237,34240,42579,0.897854681034391,0.045528524471581906,0.05661679449402704
2,2140,568521,505867,16886,45768,0.889794748127158,0.029701629315363902,0.08050362255747809
3,2421,672452,585181,37817,49454,0.870219733155675,0.05623747122471195,0.073542795619613
4,373,25461,11777,7900,5784,0.46255056753466084,0.3102784651034916,0.22717096736184753
